,target
0,خوشبختانه
1,دهن
2,تاریخ
3,رو
4,نمیشه
5,بست
6,!
7,از
8,این
9,به
10,بعد
11,بیشتر
12,از
13,تاریخ
14,معاصر
15,ایران
16,خواهید_شنید
17,،
18,چیزی
19,که
20,بعضی
21,از
22,افشای
23,اون
24,وحشت
25,دارند
26,بنی
27,صدر
28,از
29,همه
30,بعلاوه
31,خودم
32,خواهش
33,میکنم
34,یکم
35,کتاب
36,بخونیم
37,،
38,در
39,حال
40,حاضر
41,تاریخ
42,معاصر
43,لپ
44,تابم
45,خراب
46,شد
47,.
48,نه
49,از
50,فیلم
51,خبری
52,هست
53,نه
54,از
55,سریال
56,.
57,تا
58,خود
59,صبح
60,رو
61,با
62,کتاب
63,،
64,موسیقی
65,و
66,ریختن
67,همه
68,اتفاقای
69,بد
70,مملکت
71,از
72,ذهنم
73,میگذرونم
74,.
75,کتاب
76,ی
77,که
78,اطلاعات
79,تازه‌ای
80,بده
81,خوبه
82,اما
83,کتابی
84,که
85,پراز
86,ایده
87,ست
88,خوانی
89,از
90,خوان‌های
91,بهشتی
92,است
93,.
94,درحال
95,مطالعه
96,دو
97,کتاب
98,از
99,نوع
100,دوم
101,هستم
102,.
103,۱:
104,درس
105,هایی
106,از
107,تاریخ
108,نوشته
109,آرینت
110,و
111,ویل
112,دورانت
113,و
114,۲:
115,با
116,چراغ
117,و
118,آیینه
119,(
120,در
121,جست
122,و
123,جوی
124,ریشه‌های
125,تحول
126,در
127,شعر
128,معاصر
129,فارسی
130,)
131,نوشته
132,شفیعی
133,کدکنی
134,تاریخ
135,شعر
136,ادبیات
137,لباس
138,پوشوندن
139,دهقان
140,فداکار
141,رو
142,میشه
143,از
144,دیدگاه
145,طنز
146,دید
147,و
148,به
149,کوته‌فکری
150,برخی
151,خندید
152,.
153,شاید
154,حتی
155,بشه
156,اصلاحش
157,کرد
158,.
159,اما
160,از
161,نگاه
162,دیگه
163,،
164,میشه
165,گفت
166,این‌هایی
167,که
168,از
169,تحریف
170,یه
171,داستان
172,واقعی
173,معاصر
174,به
175,این
176,شکل
177,هیچ
178,ابایی
179,ندارن
180,،
181,فکر
182,میکنید
183,چه
184,بلایی
185,سر
186,تاریخ
187,دور
188,آوردن
189,و
190,خواهند_آورد
191,؟
192,تحریف
193,تاریخ
194,همهٔ
195,هموطنان
196,رو
197,دعوت
198,می‌کنم
199,یک
200,بار
201,دیگر
202,یا
203,برای
204,اولین
205,بار
206,تاریخ
207,معاصر
208,را
209,از
210,زمان
211,قاجار
212,به
213,بعد
214,رو
215,مطالعه
216,کنید
217,قطعا
218,متوجه
219,عوامل
220,جدیدی
221,خواهید_شد
222,که
223,موانع
224,اصلی
225,رسیدن
226,به
227,آزادی
228,این
229,ملت
230,بوده_است
231,.
232,سعی
233,کنیم
234,تکرارشان
235,نکنیم
236,آزادی
237,هیچ
238,آلترناتیوی
239,(
240,جایگزین
241,)
242,ندارد
243,.
244,(
245,جایگزین
246,)
247,ندارد
248,.
249,(
250,جایگزین
251,)
252,ندارد
253,.
254,چالش
255,تاریخ
256,معاصر
257,دو
258,متقلب
259,دو
260,صاحب
261,اندیشهٔ
262,قومی
263,و
264,قبیله‌ای
265,،
266,دو
267,ویران‌گر
268,و
269,نهایتا
270,،
271,دو
272,چهرهٔ
273,منفور
274,تاریخ
275,معاصر
276,کشور
277,.
278,چیزی
279,که
280,هیچ
281,گاه
282,نباید
283,فراموش
284,بشه
285,اینه
286,که
287,امریکا
288,تحت
289,هیچ
290,حالتی
291,،
292,هیچ
293,حالتی
294,قابل
295,اعتماد
296,نیست
297,،
298,تاریخ
299,معاصر
300,را
301,نگاه
302,کنیم
303,نه
304,.
305,.
306,نظر
307,نه
308,.
309,.
310,نظر
311,شما
312,که
313,محترمه
314,اما
315,بنظرم
316,تمام
317,حرکات
318,و
319,تمام
320,حرفهای
321,مسوولان
322,ویترینی
323,از
324,تفکر
325,و
326,سبک
327,زندگی
328,خودشونه
329,.
330,.
331,.
332,.
333,وقتی
334,خودشونه
335,.
336,.
337,.
338,.
339,وقتی
340,خودشونه
341,.
342,.
343,.
344,.
345,وقتی
346,خودشونه
347,.
348,.
349,.
350,.
351,وقتی
352,روی
353,میز
354,کاری
355,مسوول
356,۳نوع
357,میوه
358,هست
359,ولی
360,روی
361,سفرهٔ
362,تعداد
363,زیادی
364,از
365,مردم
366,حتی
367,نون
368,هم
369,نیست
370,!!
371,.
372,.
373,هم
374,نیست
375,!!
376,.
377,.
378,هم
379,نیست
380,!!
381,.
382,.
383,هم
384,نیست
385,!!
386,.
387,.
388,هم
389,غم
390,انگیزه
391,هم
392,نگران
393,کننده
394,:
395,(
396,اصلا
397,رژیم
398,به
399,شکلی
400,که
401,این
402,روزا
403,مرسومه
404,خوب
405,نیست
406,،
407,آدم
408,باید
409,همه
410,چی
411,بخوره
412,،
413,به
414,اندازه
415,بخوره
416,و
417,تحرک
418,کافی
419,داشته
420,باشه
421,و
422,از
423,همه
424,مهم‌تر
425,به
426,سبک
427,زندگی
428,هم
429,خیلی
430,مربوطه
431,و
432,باید
433,بجای
434,نخوردن
435,غذا
436,،
437,سبک
438,زندگی
439,و
440,عادات
441,غلط
442,زندگی
443,رو
444,اصلاح
445,کرد
446,در
447,این
448,مورد
449,اطلاع
450,حاصل
451,از
452,مطالعه
453,ندارم
454,اما
455,به
456,نظرم
457,منطقی
458,میاد
459,که
460,ایدئولوژی
461,جامعه
462,رو
463,میسازه
464,مثل
465,جامعه‌ای
466,که
467,در
468,دوره
469,پیامبر
470,شکل
471,گرفت
472,یا
473,جامعه
474,بسیار
475,ناهمگون
476,امریکا
477,از
478,نظر
479,ملیت
480,،
481,نژاد
482,و…
483,که
484,لیبرالیسم
485,و
486,سبک
487,زندگی
488,آمریکایی
489,اونها
490,رو
491,یک
492,جامعه
493,کرده
494,الان
495,کلا
496,سبک
497,زندگی‌ها
498,تغییر
499,کرده
500,نمیشه
501,با
502,اون
503,زمان
504,تطبیق
505,داد
506,اینطور
507,نبودن
508,قطعا
509,مثل
510,ما
511,ایرانیا
512,نبودن
513,ولی
514,سالی
515,یکبار
516,اینطوری
517,نبودن
518,هر
519,نسل
520,داره
521,بدتر
522,میشه
523,امانیسم
524,و
525,فردگرایی
526,شده
527,روش
528,و
529,فرهنگ
530,و
531,سبک
532,زندگی
533,غربی
534,اینم
535,یه
536,پیامد
537,کوچک
538,ولی
539,واقعا
540,ناراحت
541,کنندشه
542,چرا
543,برخی
544,از
545,آقایون
546,از
547,این
548,اینکه
549,سبک
550,زندگی
551,شخصی
552,رهبر
553,معظم
554,انقلاب
555,رسانه‌ای
556,بشه
557,واهمه
558,دارند
559,؟
560,و
561,خیلی
562,از
563,مسئولین
564,در
565,مورد
566,شناخت
567,مردم
568,نسبت
569,به
570,ابعاد
571,مختلف
572,زندگی
573,ایشون
574,کاری
575,از
576,پیش
577,نمی‌برند
578,!؟
579,زندگی
580,ساده
581,رهبر
582,انقلاب
583,ممد
584,یه
585,سبک
586,زندگی
587,نیست
588,یه
589,فحشه
590,!!
591,فحشه
592,!!
593,این
594,سبک
595,زندگی
596,اشرافی
597,،
598,نتیجه
599,عدم
600,پاسخگویی
601,قضیه
602,اتوبوس
603,دانشگاه
604,آزاده…
605,زندگی
606,ساده
607,رهبر
608,انقلاب
609,به
610,نظرم
611,خیلی
612,جسارت
613,میخواد
614,کل
615,زندگیتو
616,بیاری
617,وسط
618,اینستا
619,و
620,فضای
621,مجازی
622,.
623,.
624,.
625,مجازی
626,.
627,.
628,.
629,مجازی
630,.
631,.
632,.
633,تا
634,حدی
635,که
636,رنگ
637,مسواکتو
638,دو
639,میلیون
640,نفر
641,بدونن
642,.
643,.
644,.
645,بدونن
646,.
647,.
648,.
649,بدونن
650,.
651,.
652,.
653,ازین
654,جهت
655,اجمعین
656,بلاگر‌ها
657,شاخ‌های
658,مجازی
659,برام
660,قابل
661,تحسینن
662,.
663,.
664,.
665,تحسینن
666,.
667,.
668,.
669,تحسینن
670,.
671,.
672,.
673,حالا
674,اینکه
675,این
676,سبک
677,زندگی
678,پسند
679,من
680,نیست
681,و
682,سرمم
683,بزنن
684,حاضر
685,نیستم
686,همچین
687,کاری
688,کنم
689,یک
690,بحث
691,دیگس
692,.
693,.
694,.
695,دیگس
696,.
697,.
698,.
699,دیگس
700,.
701,.
702,.
703,نمی‌فهمم
704,چطور
705,در
706,منشنها
707,ازدواج
708,در
709,سنین
710,پایین
711,رو
712,با
713,دوست
714,پسر
715,داشتن
716,مقایسه
717,می‌کنن
718,؟
719,من
720,۳۰
721,ساله
722,شمای
723,۳۰
724,سال
725,به
726,بالا
727,از
728,نوجوونی
729,تا
730,الان
731,چند
732,نفر
733,رو
734,دوست
735,داشتید
736,که
737,بزرگتر
738,شدید
739,و
740,پشیمون
741,؟
742,چقدر
743,شخصیت
744,در
745,این
746,مدت
747,تغییر
748,می‌کنه
749,؟
750,دیدگاه‌ها
751,خواسته‌ها
752,سبک
753,زندگی
754,؟
755,استاد
756,راهنمایی
757,کنید
758,سبک
759,زندگی
760,ما
761,هم
762,درست
763,بشه
764,مخصوصا
765,زیاد
766,خوابیدن
767,که
768,گرفتاری
769,شده
770,!
771,۲
772,)
773,در
774,نتیجه
775,هیچوقت
776,این
777,سبک
778,زندگی
779,واقعا
780,به
781,یک
782,سبک
783,نرمال
784,تبدیل
785,نمیشه
786,و
787,این
788,استرس
789,کمابیش
790,در
791,جوامع
792,باقی
793,میمونه
794,در
795,بعضی
796,جوامع
797,که
798,استرس
799,روی
800,این
801,نوع
802,زندگی
803,بیشتره
804,طبیعتا
805,پرخاش
806,و
807,اضطراب
808,والدین
809,هومو
810,هم
811,بیشتر
812,میشه
813,باور
814,کن
815,دلم
816,نمیاد
817,این
818,همه
819,جوون
820,ساکن
821,اینستا
822,با
823,فیلتر
824,کردنش
825,دربه
826,در
827,بشن
828,.
829,.
830,.
831,.
832,ولی
833,بشن
834,.
835,.
836,.
837,.
838,ولی
839,بشن
840,.
841,.
842,.
843,.
844,ولی
845,بشن
846,.
847,.
848,.
849,.
850,ولی
851,یه
852,نگاه
853,کن
854,اینستا
855,رو
856,زده
857,سبک
858,زندگی
859,رو
860,آسفالت
861,کرده
862,خو
863,:
864,/
865,«
866,دولت
867,باید
868,با
869,کار
870,فرهنگی
871,و
872,طرح
873,شعارهایی
874,مثل
875,»
876,«
877,سیگار
878,نکش
879,،
880,پسته
881,بخور
882,»
883,«
884,سعی
885,کنه
886,جامعه
887,رو
888,به
889,سمت
890,سبک
891,زندگی
892,سالم
893,ببره
894,»
895,دقیقا
896,همینطوره
897,خیلی
898,تاسف
899,میخورم
900,وقتی
901,میبینم
902,و
903,میشنوم
904,که
905,خیلی
906,از
907,مردم
908,ماهم
909,دارن
910,بسمت
911,این
912,فرهنگ
913,و
914,سبک
915,زندگی
916,مزخرف
917,میرن
918,.
919,.
920,.
921,میرن
922,.
923,.
924,.
925,میرن
926,.
927,.
928,.
929,چون
930,سیاهی
931,و
932,باطنش
933,رو
934,من
935,با
936,چشمای
937,خودم
938,دیدم
939,ولی
940,مردم
941,ندیدن
942,و
943,فقط
944,ظاهر
945,خشگل
946,و
947,فریبندشو
948,میبینن
949,ربطی
950,به
951,کارمندی
952,و
953,کارافرینی
954,نداره
955,.
956,سبک
957,زندگی
958,این
959,دوره
960,جوریه
961,که
962,گذر
963,زمان
964,خوشحالت
965,میکنه
966,.
967,این
968,متأسفانه
969,خیلی
970,جاریه
971,.
972,توی
973,همه
974,موارد
975,هم
976,میشه
977,دید
978,.
979,.
980,.
981,.
982,دید
983,.
984,.
985,.
986,.
987,دید
988,.
989,.
990,.
991,.
992,دید
993,.
994,.
995,.
996,.
997,در
998,واقع
999,بازارهای
1000,و
1001,نوع
1002,تبلیغات
1003,ما
1004,سبک
1005,زندگی
1006,رو
1007,ترویج
1008,می‌کنند
1009,که
1010,حیا
1011,رو
1012,کمرنگ
1013,می‌کنه
1014,.
1015,.
1016,.
1017,می‌کنه
1018,.
1019,.
1020,.
1021,می‌کنه
1022,.
1023,.
1024,.
1025,از
1026,دکوراسیون
1027,منزل
1028,گرفته
1029,تا
1030,لباس
1031,فروشی‌ها
1032,و
1033,لوازم
1034,آرایشی
1035,و
1036,صوتی
1037,و
1038,تصویری‌ها
1039,و
1040,کافی
1041,نت‌ها
1042,و
1043,حتی
1044,لوازم
1045,خانگی
1046,و
1047,لوازم
1048,التحریرها
1049,و
1050,.
1051,.
1052,.
1053,و
1054,.
1055,.
1056,.
1057,و
1058,.
1059,.
1060,.
1061,منکه
1062,این
1063,سبک
1064,زندگی
1065,رو
1066,دوسش
1067,دارم
1068,اما
1069,اهل
1070,خونه
1071,نمیزارن
1072,هدفشون
1073,اینه
1074,سبک
1075,زندگی
1076,اسلامی
1077,رو
1078,بزنن
1079,حالا
1080,ازدواج
1081,هیچی
1082,فرزنداوری
1083,بعدش
1084,عکسایی
1085,که
1086,از
1087,اتاق
1088,دیزاین
1089,کرده
1090,بیمارستان
1091,و
1092,نوزاد
1093,تا
1094,سر
1095,وضع
1096,کارتونی
1097,پدر
1098,مادر
1099,تا
1100,گزارش
1101,تصویری
1102,جشن
1103,دندون
1104,دراوردن
1105,بچه
1106,و
1107,قس
1108,علی
1109,هذا
1110,سبک
1111,زندگی
1112,زیادی
1113,متفاوت
1114,بامادرش
1115,صحبت
1116,میکردم
1117,میگفت
1118,،
1119,هادی
1120,بچم
1121,از
1122,کوچیکی
1123,حواسش
1124,به
1125,همه
1126,بود
1127,.
1128,خیلی
1129,دل
1130,رحم
1131,بود
1132,وبه
1133,همه
1134,کمک
1135,میکرد
1136,،
1137,الان
1138,هم
1139,هروقت
1140,مشکل
1141,پیداکنیم
1142,حواسش
1143,هست
1144,،
1145,میگفت
1146,خیلی
1147,سربه
1148,زیر
1149,ومحجوب
1150,بود
1151,،
1152,وبه
1153,من
1154,وپدرش
1155,خیلی
1156,احترام
1157,میذاشت
1158,.
1159,روحش
1160,شاد
1161,شهید
1162,هادی
1163,ذوالفقاری
1164,سبک
1165,زندگی
1166,شهدا
1167,بخدا
1168,اگه
1169,من
1170,یک
1171,درصد
1172,پررویی
1173,و
1174,اعتماد
1175,به
1176,نفس
1177,شمارو
1178,داشتم
1179,دیگه
1180,مشکلاتم
1181,حل
1182,میشد
1183,تو
1184,زندگی
1185,واقعا
1186,رمز
1187,این
1188,سبک
1189,زندگی
1190,به
1191,تخمم
1192,شما
1193,چیه
1194,؟
1195,فک
1196,کنم
1197,کلا
1198,در
1199,مورد
1200,سبک
1201,زندگی
1202,یاید
1203,فکر
1204,کنی
1205,ظاهرا
1206,هنوز
1207,شهدای
1208,ما
1209,در
1210,حال
1211,مبارزه
1212,با
1213,اونا
1214,هستن
1215,که
1216,نمیتونن
1217,تحملشون
1218,کنن
1219,و
1220,با
1221,ساختن
1222,شایعه
1223,و
1224,دروغ
1225,میخوان
1226,اطراف
1227,قبور
1228,مطهرشون
1229,را
1230,خالی
1231,کنند
1232,.
1233,با
1234,سبک
1235,زندگی
1236,_شهدا
1237,نمیذاریم
1238,تیرشون
1239,به
1240,هدف
1241,بخوره
1242,از
1243,اون
1244,سبک
1245,زندگی
1246,تهوع
1247,آور
1248,کثافت
1249,کاری
1250,لباس
1251,زیر
1252,همو
1253,پوشیدن
1254,بعید
1255,نیست
1256,به
1257,نظرم
1258,هر
1259,کی
1260,هر
1261,سبک
1262,زندگی
1263,که
1264,دوست
1265,داره
1266,میتونه
1267,داشته
1268,باشه
1269,عمیقا
1270,مایلم
1271,درکی
1272,از
1273,تمام
1274,انتخاب‌ها
1275,و
1276,رفتارهای
1277,آدمها
1278,داشته_باشم
1279,بدون
1280,قضاوت
1281,کردنشون
1282,اما
1283,عمیقا
1284,اعتقاد
1285,دارم
1286,بسیاری
1287,چیزها
1288,به
1289,اشتباه
1290,سبک
1291,زندگی
1292,خونده
1293,می‌شه
1294,و
1295,پایه‌اش
1296,یک
1297,ناهنجاریه
1298,زیستی
1299,،
1300,یا
1301,یادگیریه
1302,و
1303,باید
1304,به
1305,آدمها
1306,کمک
1307,کرد
1308,.
1309,tus
1310,/
1311,۱۰۷۸۸۸۱۷۲۷۷۸۵۸۲۰۱۶۰
1312,…
1313,خیلی
1314,قائل
1315,به
1316,این
1317,که
1318,کدومش
1319,درسته
1320,نیستم
1321,دساسا
1322,سبک
1323,زندگی
1324,یه
1325,تجربه
1326,شخصی
1327,هست
1328,مهم
1329,اینه
1330,که
1331,تو
1332,لحظه
1333,خوشحال
1334,باشی
1335,و
1336,از
1337,تک
1338,تک
1339,لحظات
1340,زندگیت
1341,لذت
1342,کامل
1343,رو
1344,ببری
1345,یه
1346,وقتایی
1347,تنهایی
1348,این
1349,لذت
1350,رو
1351,بهت
1352,میده
1353,یه
1354,وقتایی
1355,هم
1356,تنوع
1357,و
1358,یه
1359,وقتایی
1360,هم
1361,آرامش
1362,فقط
1363,در
1364,حضور
1365,یه
1366,نفر
1367,خلاصه
1368,میشه
1369,جواب
1370,مطلقی
1371,وجود
1372,نداره
1373,«
1374,بر
1375,ضد
1376,کینه
1377,توزی
1378,و
1379,نفرت
1380,ایدئولوژیک
1381,-که
1382,ایران
1383,و
1384,جهان
1385,اسلام
1386,را
1387,به
1388,ذلت
1389,کشانده-
1390,موضع
1391,گرفته‌ام
1392,،
1393,ماله‌کش
1394,غرب
1395,نشین
1396,میگوید
1397,»
1398,«
1399,به
1400,نفع
1401,اسرائیل
1402,»
1403,«
1404,موضع
1405,گرفته‌ای
1406,!
1407,نفرت
1408,انگیزتر
1409,اینکه
1410,این
1411,جماعت
1412,توجیه‌گر
1413,نابخردی
1414,،
1415,حتی
1416,میخواهند
1417,میرحسین
1418,را
1419,هم
1420,هم‌نظر
1421,خودشان
1422,جلوه
1423,بدهند
1424,.
1425,دروغی
1426,از
1427,این
1428,بالاتر
1429,نیست
1430,.
1431,i
1432,/status
1433,/
1434,۱۰۷۸۴۳۱۶۸۸۷۹۳۸۱۲۹۹۲
1435,i
1436,/status
1437,/
1438,۱۰۷۸۴۳۱۶۸۸۷۹۳۸۱۲۹۹۲
1439,…
1440,»
1441,آخوند
1442,فاسد
1443,و
1444,درباری
1445,سعودی
1446,فتوا
1447,داده
1448,شیعه
1449,هاکافر
1450,هستن
1451,.
1452,ولی
1453,محمد
1454,بن
1455,سلمان
1456,که
1457,آدم‌ها
1458,مثل
1459,یک
1460,سگ
1461,وحشی
1462,تیکه
1463,تیکه
1464,می‌کنه
1465,مسلمان
1466,است
1467,!
1468,سعودی‌ها
1469,دست‌های
1470,خبیث
1471,استکبار
1472,در
1473,جهان
1474,اسلام
1475,هستن
1476,.
1477,status
1478,/
1479,۱۰۷۸۳۷۷۲۸۹۵۶۰۲۶۴۷۰۶
1480,…
1481,شاید
1482,یکی
1483,از
1484,علل
1485,پابرجا
1486,ماندن
1487,انقلاب
1488,اسلامی
1489,و
1490,گسترش
1491,ان
1492,در
1493,جهان
1494,اسلام
1495,سخن
1496,امام
1497,ره
1498,بود
1499,که
1500,گفت
1501,:
1502,اینطور
1503,نشه
1504,که
1505,بشه
1506,اونطوری
1507,که
1508,زمان
1509,اون
1510,پدر
1511,و
1512,پسر
1513,شده
1514,بشه
1515,افتخار
1516,یعنی
1517,اجازه
1518,بدی
1519,سرمایه
1520,گذار
1521,خارجی
1522,پوز
1523,تولیدی‌ها
1524,و
1525,شرکت‌های
1526,داخلی
1527,رو
1528,به
1529,خاک
1530,بماله
1531,به
1532,اون
1533,دسته
1534,از
1535,دستفروش
1536,هایی
1537,که
1538,تولیدات
1539,و
1540,دستکار‌های
1541,خودشون
1542,رو
1543,کنار
1544,خیابون
1545,میفروشن
1546,عنایت
1547,بیشتر
1548,کنید
1549,.
1550,کمک
1551,میشه
1552,به
1553,تولیدی
1554,هر
1555,چند
1556,کوچکش
1557,کار
1558,دو
1559,تا
1560,حالته
1561,:
1562,یا
1563,کار
1564,تولیدى
1565,هست
1566,که
1567,نتیجه
1568,یه
1569,محصول
1570,هست
1571,مثل
1572,کشاورزى
1573,و
1574,یا
1575,تولیدى
1576,یا
1577,کار
1578,خدماتى
1579,هست
1580,که
1581,نتیجه
1582,انجام
1583,یه
1584,کاره
1585,مثل
1586,مسافربرى
1587,به
1588,این
1589,صداوسیما
1590,بگین
1591,اول
1592,این
1593,خبرهای
1594,تولیدی
1595,رو
1596,با
1597,هم
1598,هماهنگ
1599,کنن
1600,بعد
1601,علنی
1602,کنن
1603,هی
1604,سوتی
1605,ندن
1606,مرسی
1607,اه
1608,پلاسکو
1609,یه
1610,روایت
1611,نابی
1612,بود
1613,از
1614,دوران
1615,طلوع
1616,کارخانه
1617,نساجی
1618,ایران
1619,زمانی
1620,که
1621,تولیدی‌های
1622,پوشاک
1623,اونقدر
1624,رونق
1625,داشتن
1626,که
1627,پیرنگ
1628,این
1629,داستان
1630,قوت
1631,بگیره
1632,.
1633,.
1634,.
1635,بگیره
1636,.
1637,.
1638,.
1639,بگیره
1640,.
1641,.
1642,.
1643,از
1644,تولیدی
1645,و
1646,کارگاه‌های
1647,کوچک
1648,حمایت
1649,کنیم
1650,.
1651,اینا
1652,توان
1653,کارآفرینی
1654,بالایی
1655,دارن
1656,و
1657,می‌تونن
1658,با
1659,هزینه‌های
1660,مناسب
1661,کار
1662,کنن
1663,و
1664,نیروی
1665,کار
1666,استخدام
1667,کنن
1668,.
1669,s
1670,/
1671,۸۸۹۴۰۳۶۵۱۸۲۷۱۳۸۵۶۰
1672,…
1673,باهمین
1674,۲۰۰
1675,میلیونی
1676,که
1677,دختر
1678,مظلوم
